away,home,year,month,date,starthour,startminute,endhour,endminute,level,game#
OAK,KCA,2014,9,30,,,,,ALWC,1
SFN,PIT,2014,10,1,,,,,NLWC,1
SFN,WAS,2014,10,3,,,,,NLDS1,1
SFN,WAS,2014,10,4,,,,,NLDS1,2
WAS,SFN,2014,10,6,,,,,NLDS1,3
WAS,SFN,2014,10,7,,,,,NLDS1,4
SLN,LAN,2014,10,3,,,,,NLDS2,1
SLN,LAN,2014,10,4,,,,,NLDS2,2
LAN,SLN,2014,10,6,,,,,NLDS2,3
LAN,SLN,2014,10,7,,,,,NLDS2,4
KCA,ANA,2014,10,2,,,,,ALDS1,1
KCA,ANA,2014,10,3,,,,,ALDS1,2
ANA,KCA,2014,10,5,,,,,ALDS1,3
DET,BAL,2014,10,2,,,,,ALDS2,1
DET,BAL,2014,10,3,,,,,ALDS2,2
BAL,DET,2014,10,5,,,,,ALDS2,3
SFN,SLN,2014,10,11,,,,,NLCS,1
SFN,SLN,2014,10,12,,,,,NLCS,2
SLN,SFN,2014,10,14,,,,,NLCS,3
SLN,SFN,2014,10,15,,,,,NLCS,4
SLN,SFN,2014,10,16,,,,,NLCS,5
KCA,BAL,2014,10,10,,,,,ALCS,1
KCA,BAL,2014,10,11,,,,,ALCS,2
BAL,KCA,2014,10,14,,,,,ALCS,3
BAL,KCA,2014,10,15,,,,,ALCS,4
SFN,KCA,2014,10,21,,,,,WS,1
SFN,KCA,2014,10,22,,,,,WS,2
KCA,SFN,2014,10,24,,,,,WS,3
KCA,SFN,2014,10,25,,,,,WS,4
KCA,SFN,2014,10,26,,,,,WS,5
SFN,KCA,2014,10,28,,,,,WS,6
SFN,KCA,2014,10,29,,,,,WS,7
